NAME,Student Population,Undergraduate Population,Number of universities,Continent
Alabama,122230,99317,8,East South Central
Alaska,35690,23397,2,Oacific
Arizona,128629,115052,4,Mountain
Arkansas,33878,30040,5,West Sorth Central
California,891593,738467,56,Oacific
Colorado,160759,131915,12,Mountain
Connecticut,79634,59674,10,New England
Delaware,23774,20550,1,South Atlantic
Florida,412801,355250,20,South Atlantic
Georgia,181056,146139,14,South Atlantic
Hawaii,17612,15299,1,Oacific
Idaho,106650,87813,4,Mountain
Illinois,278332,210123,25,East North Central
Indiana,193006,166384,19,East North Central
Iowa,98542,87195,13,West North Central
Kansas,65495,54620,3,West North Central
Kentucky,125035,112001,12,East South Central
Louisiana,102581,92052,8,West Sorth Central
Maine,26330,24459,6,New England
Maryland,134143,101484,14,South Atlantic
Massachusetts,266287,199538,31,New England
Michigan,243155,202361,17,East North Central
Minnesota,147803,126911,19,West North Central
Mississippi,65404,58472,5,East South Central
Missouri,143987,116466,13,West North Central
Montana,32048,30790,4,Mountain
Nebraska,56466,45583,6,West North Central
Nevada,52128,47757,2,Mountain
New Hampshire,23867,20345,3,New England
New Jersey,163780,134438,13,Mid-Atantic
New Mexico,43048,38564,4,Mountain
New York,631247,500597,68,Mid-Atantic
North Carolina,230066,187393,19,South Atlantic
North Dakota,28764,26872,2,West North Central
Ohio,322880,276603,29,East North Central
Oklahoma,67112,58946,6,West Sorth Central
Oregon,110008,100499,11,Oacific
Pennsylvania,323615,260317,40,Mid-Atantic
Rhode Island,52811,46857,7,New England
South Carolina,84166,69141,9,South Atlantic
South Dakota,28329,26453,4,West North Central
Tennessee,122612,105529,14,East South Central
Texas,543634,469678,25,West Sorth Central
Utah,133209,121070,5,Mountain
Vermont,20562,18580,5,New England
Virginia,281097,238631,20,South Atlantic
Washington,219987,163413,17,South Atlantic
West Virginia,28406,24183,1,South Atlantic
Wisconsin,117328,103658,13,East North Central
Wyoming,12397,10874,1,Mountain
